Role Number,Role,Tagline
R001,"Crypto Bro","Here for love. Or funding. Preferably both."
R002,"Life Coach (At 23)","I help people find their purpose... also I live with my parents."
R003,"Digital Nomad","Will ghost you from a different timezone."
R004,"Plant Parent","Talk nicely to me or to my monstera; same result."
R005,"Gymfluencer","Swipe right if you love 4 a.m. alarms and whey protein burps."
R006,"I Swear I'm 6'0' Guy","Actually 5'10 but standing on integrity."
R007,"BookTok Baddie","Reads only enemies-to-lovers. Might apply it to you."
R008,"Dungeon Master","Will absolutely monologue. Will not apologize."
R009,"Verified Traveler","All photos taken at Machu Picchu. No further questions."
R010,"Pet Parent","I'm just here so my corgi can get brand deals."
R011,"Yoga Instructor","I'm flexible, but not about my boundaries."
R012,"Goth Witch","Burns sage… and bridges."
R013,"Algorithm Addict","Optimizing my profile more than my life."
R014,"Food Photographer","Meals must be lukewarm before eating."
R015,"Prepper","Swipe right if you like bunkers and emotional distance."
R016,"Praise Princess","I'm here for the compliments, not the commitment."
R017,"Star Gazer","If this date goes badly, I'm blaming the planets."
R018,"Sapiosexual","I'm attracted to intelligence, especially mine."
R019,"The Angler","Caught this fish. Still looking to catch feelings."
R020,"Denial Queen","Trying to rewrite my 20s by dating someone in theirs."
R021,"Bimbo","Wait… Canada's a country?"
R022,"The Polyamorist","Ethically insensitive. Free to be avoidant."
R023,"Single Parent","I'm only free when my kid's asleep."
R024,"Digital Pen Pal","I'm here for long paragraphs and zero plans."
R025,"Finance Guy","Yes, I work in finance. No, I can't explain what I do."
R026,"Minimalist","I own 4 items. One is emotional baggage."
R027,"Workaholic","Available on weekends. Sometimes."
R028,"Death Metalhead","Growls on stage, soft boi at heart."
R029,"Podcast Host","Has a podcast no one asked for."
R030,"Mistress of Mischief","Swipe left without permission and we'll have words."
R031,"Car Guy","My personality is Mazerati."
R032,"Cosplayer","I look different in every photo. Good luck."
R033,"Gamer Boyfriend","I promise I can pause… sometimes."
R034,"Wine Mom","It's always rosé o'clock somewhere."
R035,"Gravel Goblin","Eats dirt roads for breakfast. Needs someone to hold snacks."
R036,"Entrepreneur","Founder of three startups. All in stealth mode."
R037,"Conspiracy Theorist","Birds aren't real but our connection could be."
R038,"Hippie Anarchist","Lives in a van. Smells like... freedom."
R039,"K‑Drama Romantic","Looking for love. With dramatic rain scenes."
R040,"Geologist","My rocks have names. Respect them."
R041,"Freegan","Will eat anything as long as it was free."
R042,"NFT Artist","My art is intangible. My ego isn't."
R043,"Bluebeard","I give great vows. Long-term results may vary."
R044,"Historical Reenactor","I court like it's 1487."
R045,"DIYer","Everything is a project. Including you."
R046,"Ex-Influencer","Fame faded. Trauma stayed."
R047,"Baker","Kneads love."
R048,"Pottery Guy","Wants to recreate the Ghost scene."
R049,"Competitive Runner","Runs from problems at record pace."
R050,"The Livestream Influencer","Mind if I stream this? My followers need to meet you in real time."
